漢字,訓読み
一,ひと（つ）
力,りき（む）
八,や（つ）
八,やっ（つ）
入,い（る）
入,はい（る）
二,ふた（つ）
七,なな（つ）
九,ここの（つ）
上,のぼ（る）
上,のぼ（す）
上,たてまつ（る）
三,み（つ）
三,みっ（つ）
下,くだ（す）
下,くだ（る）
文,かざ（る）
六,む（つ）
六,むっ（つ）
五,いつ（つ）
立,た（つ）
生,う（む）
生,お（う）
生,な（す）
生,な（る）
四,よ（つ）
四,よっ（つ）
田,か（る）
白,もう（す）
正,ただ（す）
出,だ（す）
出,で（る）
出,いだ（す）
出,い（づ）
休,やす（む）
休,いこ（う）
先,ま（ず）
見,み（る）
見,あらわ（す）
足,た（す）
足,た（る）
学,まな（ぶ）
空,あ（く）
空,す（く）
工,たく（む）
少,しばら（く）
太,ふと（る）
切,き（る）
止,さ（す）
止,や（む）
止,よ（す）
引,ひ（く）
内,い（る）
北,そむ（く）
古,ふる（す）
外,はず（す）
合,あ（う）
行,い（く）
行,おこな（う）
行,ゆ（く）
行,し（ぬ）
行,や（る）
毎,むさぼ（る）
光,ひか（る）
会,あ（う）
交,か（う）
回,まわ（す）
回,まわ（る）
回,めぐ（る）
走,はし（る）
作,つく（る）
作,な（す）
言,い（う）
売,う（る）
図,はか（る）
来,く（る）
来,きた（す）
来,きた（る）
何,いず（く）
知,し（る）
明,あ（く）
直,なお（す）
直,なお（る）
画,えが（く）
画,かぎ（る）
画,か（く）
画,はか（る）
歩,あゆ（む）
歩,ある（く）
点,とぼ（す）
点,とぼ（る）
点,とも（る）
思,おも（う）
計,はか（る）
食,く（う）
食,は（む）
首,もう（す）
記,しる（す）
弱,よわ（る）
原,ゆる（す）
通,かよ（う）
通,とお（す）
通,とお（る）
書,か（く）
帰,かえ（す）
帰,かえ（る）
帰,おく（る）
帰,とつ（ぐ）
週,めぐ（る）
細,ほそ（る）
雪,すす（ぐ）
雪,そそ（ぐ）
組,く（む）
番,つが（う）
買,か（う）
道,い（う）
道,みちび（く）
絵,えが（く）
間,うかが（う）
楽,この（む）
話,はな（す）
語,かた（る）
鳴,な（く）
鳴,な（る）
聞,き（く）
歌,うた（う）
読,よ（む）
曜,かがや（く）
反,そ（る）
反,かえ（す）
反,かえ（る）
反,そむ（く）
予,ゆる（す）
写,うつ（す）
写,うつ（る）
打,う（つ）
打,ぶ（つ）
去,さ（る）
去,のぞ（く）
去,ゆ（く）
主,つかさど（る）
由,よ（る）
号,さけ（ぶ）
礼,うやま（う）
氷,こお（る）
仕,つかまつ（る）
申,もう（す）
式,のっと（る）
死,し（ぬ）
向,む（く）
次,つ（ぐ）
次,つい（ず）
次,やど（る）
両,ふた（つ）
守,まも（る）
全,まった（く）
有,あ（る）
有,も（つ）
返,かえ（す）
返,かえ（る）
住,す（む）
取,と（る）
注,そそ（ぐ）
注,さ（す）
注,つ（ぐ）
実,みの（る）
使,つか（う）
苦,にが（る）
泳,およ（ぐ）
表,あらわ（す）
服,き（る）
服,したが（う）
服,の（む）
放,はな（す）
放,はな（つ）
放,ほう（る）
放,こ（く）
放,さ（く）
放,ひ（る）
放,まか（す）
放,ゆる（す）
育,そだ（つ）
育,はぐく（む）
岸,かどだ（つ）
和,なご（む）
和,な（ぐ）
委,お（く）
送,おく（る）
面,そむ（く）
追,お（う）
研,と（ぐ）
研,みが（く）
度,はか（る）
度,わた（る）
待,ま（つ）
発,あば（く）
発,た（つ）
発,はな（つ）
発,ひら（く）
負,お（う）
負,そむ（く）
負,たの（む）
乗,の（る）
指,さ（す）
持,も（つ）
拾,ひろ（う）
急,いそ（ぐ）
急,せ（く）
係,かか（る）
係,つな（ぐ）
流,なが（す）
荷,にな（う）
起,た（つ）
倍,そむ（く）
倍,ま（す）
消,け（す）
配,くば（る）
配,なが（す）
配,なら（ぶ）
病,や（む）
息,いこ（う）
息,やす（む）
息,や（む）
悪,にく（む）
動,うご（く）
問,と（う）
終,しま（う）
習,なら（う）
宿,やど（す）
宿,やど（る）
転,ころ（ぶ）
転,うつ（る）
転,まろ（ぶ）
進,すす（む）
商,あきな（う）
商,はか（る）
祭,まつ（る）
期,ちぎ（る）
陽,いつわ（る）
飲,の（む）
飲,みずか（う）
運,はこ（ぶ）
運,めぐ（る）
遊,あそ（ぶ）
遊,すさ（ぶ）
温,つつ（む）
開,あ（く）
開,ひら（く）
登,のぼ（る）
着,き（る）
着,つ（く）
集,つど（う）
集,すだ（く）
集,たか（る）
勝,か（つ）
勝,まさ（る）
想,おも（う）
農,たがや（す）
意,おも（う）
練,ね（る）
談,かた（る）
調,ととの（う）
調,あざけ（る）
調,やわら（ぐ）
整,ととの（う）
欠,か（く）
失,うしな（う）
付,つ（く）
包,つつ（む）
包,くる（む）
必,かなら（ず）
司,つかさど（る）
印,しる（す）
衣,き（る）
兆,きざ（す）
灯,とぼ（す）
灯,とも（す）
灯,とも（る）
成,な（す）
成,な（る）
伝,つた（う）
争,あらそ（う）
好,この（む）
好,す（く）
利,き（く）
芸,くさぎ（る）
労,いたわ（る）
労,ねぎら（う）
労,はたら（く）
希,こいねが（う）
沖,と（ぶ）
別,わか（つ）
折,お（る）
治,なお（す）
治,なお（る）
法,のっと（る）
周,あまね（く）
周,めぐ（る）
牧,か（う）
牧,やしな（う）
参,まい（る）
芽,めぐ（む）
泣,な（く）
協,かな（う）
念,おも（う）
刷,す（る）
刷,は（く）
勇,いさ（む）
要,い（る）
単,ひと（つ）
飛,と（ぶ）
香,かお（る）
建,た（つ）
建,くつがえ（す）
約,ちか（う）
便,へつら（う）
省,はぶ（く）
祝,いわ（う）
祝,た（つ）
祝,の（る）
祝,のろ（う）
特,ひと（つ）
候,うかが（う）
候,さぶら（う）
候,ま（つ）
料,はか（る）
笑,わら（う）
笑,え（む）
訓,よ（む）
差,さ（す）
差,たが（う）
挙,こぞ（る）
残,のこ（す）
残,のこ（る）
敗,やぶ（る）
副,そ（う）
望,のぞ（む）
望,うら（む）
清,す（む）
産,う（む）
唱,うた（う）
散,ち（る）
焼,や（く）
量,はか（る）
給,たま（う）
給,たまわ（る）
富,と（む）
賀,よろこ（ぶ）
滋,しげ（る）
滋,ま（す）
結,むす（ぶ）
結,ゆ（う）
結,す（く）
覚,さと（る）
順,したが（う）
達,とお（る）
達,とど（く）
飯,くら（う）
続,つづ（く）
続,つ（ぐ）
置,お（く）
戦,たたか（う）
戦,おのの（く）
戦,そよ（ぐ）
辞,ことわ（る）
働,はたら（く）
試,ため（す）
照,て（る）
管,つかさど（る）
察,し（る）
察,み（る）
説,と（く）
説,よろこ（ぶ）
漁,あさ（る）
漁,すなど（る）
億,おしはか（る）
課,はか（る）
縄,ただ（す）
熱,いき（る）
熱,ほて（る）
標,しる（す）
選,えら（ぶ）
選,え（る）
選,すぐ（る）
選,よ（る）
養,やしな（う）
積,つ（む）
録,しる（す）
類,に（る）
験,ため（す）
観,しめ（す）
観,み（る）
願,ねが（う）
競,きそ（う）
競,せ（る）
競,きお（う）
議,はか（る）
比,なら（ぶ）
支,か（う）
弁,かた（る）
弁,と（く）
圧,お（す）
圧,へ（す）
布,し（く）
示,しめ（す）
刊,きざ（む）
刊,けず（る）
犯,おか（す）
旧,ふ（る）
任,まか（す）
因,よ（る）
因,ちな（む）
仮,か（す）
在,あ（る）
在,いま（す）
在,ましま（す）
判,わか（る）
志,こころざ（す）
志,しる（す）
余,あま（す）
余,あま（る）
似,に（る）
均,なら（す）
囲,かこ（う）
囲,かこ（む）
防,ふせ（ぐ）
防,まも（る）
舎,お（く）
舎,やど（る）
居,い（る）
居,お（く）
居,お（る）
効,き（く）
効,いた（す）
効,なら（う）
招,まね（く）
往,ゆ（く）
易,あなど（る）
肥,ふと（る）
非,あら（ず）
非,そし（る）
限,かぎ（る）
紀,しる（す）
迷,まよ（う）
迷,まど（う）
則,のっと（る）
保,たも（つ）
保,も（つ）
航,わた（る）
殺,ころ（す）
殺,けず（る）
殺,そ（ぐ）
修,かざ（る）
能,あた（う）
能,よ（く）
耕,たがや（す）
格,いた（る）
格,う（つ）
格,ただ（す）
造,つく（る）
造,いた（る）
造,な（る）
破,やぶ（る）
容,ゆる（す）
益,ま（す）
略,おか（す）
略,はか（る）
略,はぶ（く）
張,は（る）
務,あなど（る）
率,したが（う）
接,つ（ぐ）
接,は（ぐ）
接,もてな（す）
断,ことわ（る）
断,た（つ）
得,え（る）
得,う（る）
採,と（る）
混,こ（む）
寄,よ（る）
規,ただ（す）
移,うつ（す）
移,うつ（る）
経,へ（る）
経,た（つ）
現,あらわ（す）
許,ゆる（す）
救,すく（う）
過,あやま（つ）
過,よぎ（る）
測,はか（る）
絶,た（つ）
絶,わた（る）
属,つ（く）
貸,か（す）
証,あか（す）
貿,あきな（う）
象,かたど（る）
喜,よろこ（ぶ）
復,かえ（す）
復,かえ（る）
営,いとな（む）
評,あげつら（う）
評,はか（る）
減,へ（る）
飼,か（う）
飼,やしな（う）
解,と（く）
解,さと（る）
解,ほど（く）
解,わか（る）
禁,い（む）
損,へ（る）
演,おこな（う）
構,かま（う）
像,かたど（る）
製,つく（る）
歴,へ（る）
適,かな（う）
適,ゆ（く）
増,ま（す）
質,ただ（す）
編,あ（む）
導,みちび（く）
暴,あば（く）
暴,さら（す）
衛,まも（る）
輸,いた（す）
輸,うつ（す）
輸,おく（る）
築,きず（く）
築,つ（く）
燃,も（す）
興,おこ（す）
興,おこ（る）
績,う（む）
績,つむ（ぐ）
謝,あやま（る）
謝,ことわ（る）
謝,さ（る）
職,つかさど（る）
織,お（る）
識,し（る）
識,しる（す）
護,まも（る）
亡,うしな（う）
干,ほ（す）
干,ひ（る）
干,おか（す）
処,お（く）
処,お（る）
吸,す（う）
至,いた（る）
存,あ（る）
存,たも（つ）
存,と（う）
乱,みだ（す）
困,こま（る）
批,う（つ）
批,ただ（す）
系,つな（ぐ）
呼,よ（ぶ）
拝,おが（む）
若,し（く）
担,かつ（ぐ）
担,にな（う）
並,なら（ぶ）
届,とど（く）
刻,きざ（む）
延,ひ（く）
沿,そ（う）
承,うけたまわ（る）
背,そむ（く）
映,うつ（す）
映,うつ（る）
看,み（る）
巻,ま（く）
