漢字,訓読み
下,お（りる）
生,い（きる）
足,た（りる）
用,もち（いる）
交,ま（じる）
活,い（きる）
強,し（いる）
実,み（ちる）
起,お（きる）
落,お（ちる）
以,もち（いる）
老,お（いる）
省,かえり（みる）
帯,お（びる）
浴,あ（びる）
借,か（りる）
満,み（ちる）
隊,お（ちる）
試,こころ（みる）
課,こころ（みる）
旧,ふる（びる）
率,ひき（いる）
混,ま（じる）
過,す（ぎる）
報,むく（いる）
雑,ま（じる）
亡,ほろ（びる）
延,の（びる）
染,し（みる）
除,つ（きる）
将,ひき（いる）
降,お（りる）
閉,と（じる）
尽,つ（きる）
朽,く（ちる）
枯,から（びる）
恥,は（じる）
浸,し（みる）
寂,さ（びる）
鑑,かんが（みる）
伸,の（びる）
封,と（じる）
悔,く（いる）
凍,し（みる）
滅,ほろ（びる）
飽,あ（きる）
零,お（ちる）
潤,ほと（びる）
墜,お（ちる）
錯,ま（じる）
顧,かえり（みる）
充,み（ちる）
肯,がえん（じる）
帥,ひき（いる）
庸,もち（いる）
堕,お（ちる）
喪,ほろ（びる）
酬,むく（いる）
督,ひき（いる）
懲,こ（りる）
萎,しな（びる）
羞,は（じる）
須,もち（いる）
塞,み（ちる）
綻,ほころ（びる）
舛,いりま（じる）
杜,と（じる）
禿,ち（びる）
怯,お（じる）
盈,み（ちる）
洩,の（びる）
倦,あ（きる）
貰,か（りる）
溢,す（ぎる）
溢,み（ちる）
詫,わ（びる）
厭,あ（きる）
駁,ま（じる）
綴,と（じる）
暢,の（びる）
嘗,こころ（みる）
錆,さ（びる）
彊,し（いる）
悔,く（いる）
將,ひき（いる）
帶,お（びる）
滿,み（ちる）
實,み（ちる）
盡,つ（きる）
墮,お（ちる）
舊,ふる（びる）
雜,ま（じる）
懲,こ（りる）
佗,わ（びる）
尨,ま（じる）
忸,は（じる）
抉,こ（じる）
沁,し（みる）
侘,わ（びる）
佩,お（びる）
侑,むく（いる）
怩,は（じる）
泯,つ（きる）
泯,ほろ（びる）
罔,し（いる）
昶,の（びる）
盻,かえり（みる）
眄,かえり（みる）
殄,つ（きる）
鬯,の（びる）
莚,の（びる）
耆,お（いる）
弸,み（ちる）
涸,から（びる）
涸,つ（きる）
淆,ま（じる）
眷,かえり（みる）
竟,つ（きる）
厠,ま（じる）
媚,こ（びる）
廁,ま（じる）
湮,ほろ（びる）
渾,ま（じる）
軼,す（ぎる）
赧,は（じる）
焙,ほう（じる）
詆,し（いる）
覃,の（びる）
畴,むく（いる）
耋,お（いる）
翕,と（じる）
愧,は（じる）
慊,あきた（りる）
歇,つ（きる）
鉗,と（じる）
隕,お（ちる）
飫,あ（きる）
慚,は（じる）
滲,し（みる）
酲,あ（きる）
誣,し（いる）
鄙,ひな（びる）
殞,お（ちる）
竭,つ（きる）
慙,は（じる）
銹,さ（びる）
銷,つ（きる）
緘,と（じる）
諂,こ（びる）
糅,ま（じる）
糂,ま（じる）
噤,と（じる）
靦,は（じる）
縢,と（じる）
瞞,は（じる）
殫,つ（きる）
邁,す（ぎる）
襍,ま（じる）
濔,み（ちる）
糜,ほろ（びる）
藉,か（りる）
懴,く（いる）
闔,と（じる）
攀,よ（じる）
疇,むく（いる）
懺,く（いる）
贍,た（りる）
贏,の（びる）
鑒,かんが（みる）
黴,か（びる）
讐,むく（いる）
讎,むく（いる）
鑰,と（じる）
