漢字,訓読み
一,"ひと（つ）,はじ（め）"
力,"つと（める）,りき（む）"
八,"や（つ）,やっ（つ）"
入,"い（る）,い（れる）,はい（る）"
二,ふた（つ）
人,
十,
七,なな（つ）
九,ここの（つ）
川,
山,
子,
小,ちい（さい）
土,
女,めあ（わせる）
上,"あ（がる）,あ（げる）,のぼ（る）,のぼ（す）,のぼ（せる）,たてまつ（る）"
大,"おお（いに）,おお（きい）"
夕,ゆう（べ）
千,
三,"み（つ）,みっ（つ）"
口,
下,"お（りる）,お（ろす）,くだ（さる）,くだ（す）,くだ（る）,さ（がる）,さ（げる）"
木,
月,
王,
文,かざ（る）
火,
水,
天,
六,"む（つ）,むっ（つ）"
中,"あ（たる）,あ（てる）"
手,
五,いつ（つ）
日,
犬,
円,"まる（い）,つぶら（か）,まど（か）,まろ（やか）"
石,
玉,
立,"た（つ）,た（てる）"
左,
本,
目,
右,たす（ける）
生,"い（かす）,い（きる）,い（ける）,う（まれる）,う（む）,は（える）,は（やす）,お（う）,な（す）,な（る）"
四,"よ（つ）,よっ（つ）"
田,"か（り）,か（る）"
白,"しろ（い）,あき（らか）,もう（す）"
正,"ただ（しい）,ただ（す）"
出,"だ（す）,で（る）,いだ（す）,い（づ）"
竹,
虫,
年,
百,
字,
糸,
休,"やす（まる）,やす（む）,やす（める）,いこ（う）,さいわ（い）,や（める）,よ（い）"
名,
先,ま（ず）
早,"はや（い）,はや（まる）,はや（める）"
気,
耳,
赤,"あか（い）,あか（らむ）,あか（らめる）"
見,"み（える）,み（せる）,み（る）,あらわ（す）,あらわ（れる）,まみ（える）"
村,
貝,
車,
足,"た（す）,た（りる）,た（る）"
男,
町,
花,
林,おお（い）
学,まな（ぶ）
空,"あ（く）,あ（ける）,うつ（ける）,うつ（ろ）,す（く）,むな（しい）"
青,あお（い）
雨,
金,
音,たよ（り）
草,
校,"かんが（える）,くら（べる）"
森,
刀,
工,たく（む）
才,
万,
丸,"まる（い）,まる（める）"
弓,
少,"すく（ない）,すこ（し）,しばら（く）,わか（い）"
