漢字,訓読み
力,つと（める）
入,い（れる）
上,あ（げる）
上,のぼ（せる）
下,さ（げる）
中,あ（てる）
立,た（てる）
右,たす（ける）
生,い（ける）
生,は（える）
休,やす（める）
休,や（める）
早,はや（める）
見,み（える）
見,み（せる）
見,あらわ（れる）
見,まみ（える）
空,あ（ける）
空,うつ（ける）
校,かんが（える）
校,くら（べる）
丸,まる（める）
切,き（れる）
止,と（める）
止,とど（める）
止,や（める）
引,ひ（ける）
分,わ（ける）
内,い（れる）
北,に（げる）
広,ひろ（げる）
広,ひろ（める）
外,はず（れる）
当,あ（てる）
考,かんが（える）
会,あつ（める）
交,まじ（える）
交,ま（ぜる）
角,くら（べる）
売,う（れる）
明,あ（ける）
長,た（ける）
点,た（てる）
点,つ（ける）
活,い（ける）
計,かぞ（える）
食,た（べる）
後,おく（れる）
高,たか（める）
弱,よわ（める）
原,たず（ねる）
理,おさ（める）
教,おし（える）
強,つよ（める）
強,つと（める）
番,つが（える）
答,こた（える）
晴,は（れる）
楽,かな（でる）
数,かぞ（える）
算,かぞ（える）
語,つ（げる）
化,ば（ける）
化,か（える）
予,あた（える）
代,か（える）
仕,つか（える）
申,かさ（ねる）
曲,ま（げる）
向,む（ける）
列,つら（ねる）
列,なら（べる）
助,たす（ける）
究,きわ（める）
投,な（げる）
決,き（める）
対,こた（える）
始,はじ（める）
受,う（ける）
事,つか（える）
表,あらわ（れる）
放,はな（れる）
具,そな（える）
育,そだ（てる）
和,あ（える）
定,さだ（める）
委,ゆだ（ねる）
委,す（てる）
委,まか（せる）
相,たす（ける）
美,ほ（める）
負,ま（ける）
乗,の（せる）
重,かさ（ねる）
勉,つと（める）
流,なが（れる）
速,はや（める）
消,き（える）
部,す（べる）
部,わ（ける）
問,たず（ねる）
終,お（える）
転,ころ（げる）
転,こ（ける）
深,ふか（める）
深,ふ（ける）
進,すす（める）
期,き（める）
温,あたた（める）
温,たず（ねる）
温,ぬく（める）
開,あ（ける）
開,ひら（ける）
開,はだ（ける）
着,き（せる）
着,つ（ける）
植,う（える）
植,た（てる）
集,あつ（める）
勝,すぐ（れる）
勝,た（える）
感,かま（ける）
調,しら（べる）
調,ととの（える）
整,ととの（える）
欠,か（ける）
失,う（せる）
付,つ（ける）
付,あた（える）
加,くわ（える）
伝,つた（える）
老,ふ（ける）
争,いさ（める）
初,そ（める）
芸,う（える）
労,つか（れる）
佐,たす（ける）
改,あらた（める）
束,つか（ねる）
冷,さ（める）
冷,ひ（える）
低,ひく（める）
低,た（れる）
努,つと（める）
岐,わか（れる）
